id,errors-question1,errors-question2,errors-question3,errors-question4,Errors-question5
20170101451,1.0,,2.0,2.0,4.0
20170061679,,,,,
20170016539,2.0,2.0,1.0,2.0,2.0
20170018936,1.0,1.0,2.0,1.0,0.0
20170008410,2.0,,2.0,2.0,2.0
20170027158,0.0,0.0,1.0,1.0,2.0
20170058655,0.0,2.0,3.0,0.0,0.0
20170024290,1.0,2.0,1.0,3.0,0.0
20170027630,1.0,3.0,0.0,2.0,2.0
11412497,2.0,,3.0,2.0,2.0
20170015291,0.0,3.0,0.0,0.0,0.0
20170141214,3.0,2.0,0.0,2.0,2.0
2016084702,0.0,3.0,0.0,0.0,1.0
20170200235,1.0,,3.0,1.0,3.0
20170019512,6.0,6.0,3.0,6.0,5.0
20170112348,1.0,2.0,0.0,3.0,2.0
20190109324,1.0,3.0,3.0,3.0,0.0
20170110183,3.0,3.0,2.0,1.0,0.0
20170110227,0.0,0.0,0.0,2.0,3.0
20170018097,2.0,3.0,0.0,3.0,
20170073039,1.0,,2.0,0.0,2.0
20170022071,1.0,,0.0,1.0,0.0
20170157420,3.0,3.0,,4.0,
20160121307,1.0,,0.0,0.0,2.0
20170164380,2.0,3.0,0.0,1.0,0.0
20170059376,0.0,1.0,0.0,1.0,0.0
20170071559,0.0,1.0,1.0,0.0,0.0
