id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7,errors-question8
20180047593,,,,,,,,
20180071150,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
20180124674,3.0,1.0,2.0,0.0,1.0,,0.0,0.0
20180133717,3.0,3.0,3.0,1.0,2.0,,2.0,
20180036437,4.0,,,0.0,0.0,1.0,3.0,
20180035977,4.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0
20180018671,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
20190176594,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
11500456,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0
20180024991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20180036277,0.0,0.0,2.0,0.0,0.0,,0.0,0.0
20180030470,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
20180036132,,,,1.0,1.0,,2.0,
20180039377,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
20170026858,,,,0.0,0.0,1.0,2.0,3.0
20180112931,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20180132219,3.0,1.0,3.0,0.0,0.0,,0.0,1.0
20180035832,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180131516,2.0,1.0,0.0,0.0,0.0,,2.0,0.0
20160155708,,,2.0,0.0,2.0,2.0,,2.0
11017241,,,,0.0,2.0,1.0,2.0,
20170173791,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
20160157990,3.0,,3.0,0.0,0.0,1.0,3.0,2.0
20170157822,4.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0
20170024399,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
20170161173,1.0,,2.0,0.0,0.0,,0.0,0.0
20180098000,2.0,2.0,2.0,,,,,
20170111583,1.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0
2017032470,4.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0
20180037917,2.0,1.0,,,,,0.0,0.0
20180102238,,,4.0,,,,0.0,
20180035430,3.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0
20180039770,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
20170008072,,,,0.0,0.0,,,
20180034817,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
20180064979,3.0,,4.0,0.0,2.0,,0.0,1.0
20170156164,,,,0.0,0.0,1.0,,1.0
20180034657,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0
20170132538,3.0,,3.0,0.0,2.0,1.0,0.0,
20190074093,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
20170166812,4.0,4.0,,,,,2.0,
20180038754,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
20180021597,,,4.0,0.0,0.0,1.0,1.0,0.0
20170129523,4.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0
20170012816,3.0,3.0,0.0,,,,0.0,
20170168970,3.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0
20180043852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
