id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5
20170106215,0.0,0.0,0,3.0,2.0
20170009131,0.0,0.0,1,1.0,1.0
20180006124,2.0,0.0,4,3.0,2.0
20170026415,0.0,0.0,0,0.0,2.0
20170026393,2.0,0.0,1,0.0,2.0
20170102892,0.0,1.0,2,0.0,1.0
20170119993,0.0,0.0,0,0.0,3.0
20170195270,0.0,0.0,3,3.0,1.0
20160125683,0.0,0.0,4,2.0,4.0
20170143546,0.0,0.0,0,3.0,
20160129584,0.0,0.0,3,3.0,0.0
20180155840,,2.0,3,0.0,
20170104800,1.0,4.0,0,0.0,0.0
20160159476,3.0,,4,,4.0
20170106458,0.0,3.0,3,2.0,3.0
20170101581,3.0,2.0,2,,4.0
20170103634,0.0,0.0,0,0.0,0.0
20170157804,,4.0,4,3.0,
20170003110,0.0,1.0,4,0.0,0.0
20170130613,3.0,1.0,5,,
20170143792,2.0,0.0,1,2.0,3.0
20170105361,0.0,0.0,4,3.0,
20170059957,0.0,3.0,2,2.0,0.0
20170108640,4.0,2.0,5,3.0,
20170107580,0.0,1.0,4,0.0,0.0
20170138498,0.0,0.0,4,1.0,2.0
20170104480,0.0,0.0,6,0.0,0.0
20170159380,0.0,0.0,3,3.0,4.0
20170203667,0.0,0.0,0,3.0,0.0
